,date,symbol,rate
0,2022-03-04,AED,4.021199
1,2022-03-04,AFN,98.761801
2,2022-03-04,ALL,123.557487
3,2022-03-04,AMD,553.533133
4,2022-03-04,ANG,1.982552
5,2022-03-04,AOA,521.360624
6,2022-03-04,ARS,118.846708
7,2022-03-04,AUD,1.485238
8,2022-03-04,AWG,1.970857
9,2022-03-04,AZN,1.865453
10,2022-03-04,BAM,1.960232
11,2022-03-04,BBD,2.221088
12,2022-03-04,BDT,94.761717
13,2022-03-04,BGN,1.960555
14,2022-03-04,BHD,0.412827
15,2022-03-04,BIF,2199.49967
16,2022-03-04,BMD,1.094769
17,2022-03-04,BND,1.495759
18,2022-03-04,BOB,7.562684
19,2022-03-04,BRL,5.542612
20,2022-03-04,BSD,1.100071
21,2022-03-04,BTC,2.79828e-05
22,2022-03-04,BTN,83.803407
23,2022-03-04,BWP,12.858277
24,2022-03-04,BYN,3.407152
25,2022-03-04,BYR,21457.465501
26,2022-03-04,BZD,2.21728
27,2022-03-04,CAD,1.39432
28,2022-03-04,CDF,2207.053991
29,2022-03-04,CHF,1.003277
30,2022-03-04,CLF,0.031944
31,2022-03-04,CLP,881.422913
32,2022-03-04,CNY,6.916424
33,2022-03-04,COP,4135.487541
34,2022-03-04,CRC,707.799587
35,2022-03-04,CUC,1.094769
36,2022-03-04,CUP,29.011369
37,2022-03-04,CVE,110.513192
38,2022-03-04,CZK,25.774303
39,2022-03-04,DJF,195.829798
40,2022-03-04,DKK,7.446972
41,2022-03-04,DOP,60.314455
42,2022-03-04,DZD,156.190776
43,2022-03-04,EGP,17.182589
44,2022-03-04,ERN,16.421551
45,2022-03-04,ETB,56.405176
46,2022-03-04,EUR,1.0
47,2022-03-04,FJD,2.3092
48,2022-03-04,FKP,0.796904
49,2022-03-04,GBP,0.82749
50,2022-03-04,GEL,3.667903
51,2022-03-04,GGP,0.796904
52,2022-03-04,GHS,7.755217
53,2022-03-04,GIP,0.796904
54,2022-03-04,GMD,58.296857
55,2022-03-04,GNF,9871.068595
56,2022-03-04,GTQ,8.481147
57,2022-03-04,GYD,230.146867
58,2022-03-04,HKD,8.554829
59,2022-03-04,HNL,27.086832
60,2022-03-04,HRK,7.573723
61,2022-03-04,HTG,115.102499
62,2022-03-04,HUF,388.199532
63,2022-03-04,IDR,15746.276418
64,2022-03-04,ILS,3.593113
65,2022-03-04,IMP,0.796904
66,2022-03-04,INR,83.668246
67,2022-03-04,IQD,1605.505669
68,2022-03-04,IRR,46336.083413
69,2022-03-04,ISK,144.203349
70,2022-03-04,JEP,0.796904
71,2022-03-04,JMD,169.816376
72,2022-03-04,JOD,0.776234
73,2022-03-04,JPY,125.695906
74,2022-03-04,KES,125.402932
75,2022-03-04,KGS,106.930109
76,2022-03-04,KHR,4471.642482
77,2022-03-04,KMF,493.686342
78,2022-03-04,KPW,985.291955
79,2022-03-04,KRW,1332.25138
80,2022-03-04,KWD,0.332175
81,2022-03-04,KYD,0.916759
82,2022-03-04,KZT,561.360712
83,2022-03-04,LAK,12610.721349
84,2022-03-04,LBP,1663.435769
85,2022-03-04,LKR,221.655197
